TV,Radio,Social Media,Influencer_Macro,Influencer_Mega,Influencer_Micro,Influencer_Nano,Sales
10.0,3.46,2.4,0,0,1,0,39.63
49.0,10.07,1.73,1,0,0,0,169.01
14.0,5.2,0.41,0,1,0,0,50.99
20.0,10.75,2.44,1,0,0,0,70.47
17.0,10.45,3.36,0,0,0,1,58.59
68.0,29.89,6.1,0,1,0,0,237.77
91.0,25.05,6.11,1,0,0,0,322.1
52.0,17.11,2.64,0,1,0,0,181.08
41.0,3.92,2.53,0,0,0,1,145.92
65.0,11.66,0.36,0,0,1,0,228.56
82.0,31.61,3.95,0,1,0,0,288.98
14.0,18.65,4.53,0,1,0,0,49.82
84.0,31.27,8.08,0,0,0,1,299.1
99.0,30.14,6.55,0,1,0,0,351.36
15.0,2.23,1.08,0,1,0,0,55.01
64.0,24.7,6.74,0,0,1,0,223.1
70.0,15.25,4.59,1,0,0,0,247.14
77.0,26.82,5.51,0,0,0,1,274.71
81.0,20.39,3.21,1,0,0,0,289.18
46.0,17.79,4.12,0,0,1,0,168.04
54.07,6.48,0.87,1,0,0,0,91.18
56.0,25.28,3.24,0,1,0,0,198.32
98.0,33.06,6.06,0,1,0,0,349.75
47.0,18.23,0.83,0,1,0,0,166.14
18.0,8.81,2.41,0,0,0,1,59.29
77.0,22.96,2.64,0,1,0,0,272.63
22.0,6.04,2.14,0,1,0,0,77.42
99.0,37.72,3.59,0,0,0,1,349.42
36.0,9.1,3.82,0,1,0,0,127.09
12.0,1.65,1.31,0,1,0,0,43.07
94.0,47.12,9.32,0,0,1,0,336.59
97.0,39.23,3.7,0,0,0,1,345.31
44.0,16.91,4.03,1,0,0,0,154.21
86.0,31.52,6.4,0,1,0,0,304.74
93.0,33.06,5.79,0,0,1,0,335.21
30.0,10.65,1.92,1,0,0,0,104.18
32.0,0.76,2.36,0,1,0,0,112.27
29.0,2.17,4.21,0,1,0,0,103.63
72.0,25.41,3.22,0,0,1,0,262.4
14.0,8.0,4.19,0,0,1,0,51.44
95.0,38.42,7.67,0,0,1,0,336.76
20.0,3.93,0.33,0,0,0,1,72.63
49.0,24.36,3.8,0,0,0,1,174.2
29.0,11.21,0.56,1,0,0,0,99.0
54.07,7.64,1.55,1,0,0,0,56.19
39.0,13.19,2.77,1,0,0,0,140.42
87.0,33.71,3.33,0,0,0,1,309.36
38.0,9.44,4.38,0,1,0,0,133.57
43.0,9.73,0.34,1,0,0,0,152.25
30.0,8.42,3.28,1,0,0,0,112.31
93.0,19.96,2.26,0,1,0,0,333.58
86.0,25.26,6.77,0,0,0,1,307.62
63.0,26.04,3.29,0,0,0,1,225.49
93.0,28.04,2.92,0,0,0,1,333.97
94.0,32.15,4.61,1,0,0,0,334.65
63.0,21.85,2.64,1,0,0,0,222.47
30.0,17.47,4.34,0,0,0,1,105.19
18.0,7.29,2.32,0,0,1,0,62.32
24.0,3.43,0.0,0,0,1,0,86.12
56.0,14.88,2.37,1,0,0,0,197.23
40.0,17.43,3.31,1,0,0,0,143.84
74.0,29.56,2.06,0,0,1,0,263.11
52.0,14.57,2.0,0,1,0,0,182.99
74.0,20.22,4.54,1,0,0,0,267.74
54.07,30.47,6.81,0,0,1,0,336.82
70.0,15.35,1.05,0,0,1,0,250.75
99.0,33.88,8.09,0,1,0,0,356.58
42.0,15.22,1.5,0,0,0,1,145.22
85.0,31.8,2.16,0,1,0,0,303.4
38.0,8.87,1.61,1,0,0,0,132.34
30.0,15.43,3.99,1,0,0,0,104.5
49.0,21.03,5.09,0,0,1,0,174.56
27.0,6.45,1.42,0,1,0,0,96.43
30.0,4.56,1.65,0,1,0,0,104.15
100.0,36.57,5.27,0,1,0,0,354.8
21.0,1.38,5.29,0,1,0,0,80.94
38.0,18.9,4.89,1,0,0,0,131.1
39.0,9.72,0.9,0,0,1,0,135.54
14.0,4.83,0.29,0,0,1,0,49.19
40.0,18.38,1.32,0,1,0,0,141.38
33.0,17.45,0.89,1,0,0,0,119.33
88.0,26.01,1.5,0,0,0,1,321.05
67.0,28.48,1.52,0,1,0,0,240.4
65.0,20.06,3.53,0,0,0,1,227.0
95.0,30.74,8.98,0,0,1,0,341.43
95.0,36.42,10.0,0,0,0,1,335.3
54.07,9.16,1.1,1,0,0,0,65.26
77.0,31.65,7.78,0,0,0,1,273.96
70.0,21.44,5.71,0,1,0,0,249.3
34.0,16.19,0.79,0,1,0,0,117.05
59.0,13.45,1.5,1,0,0,0,208.75
30.0,12.16,0.93,1,0,0,0,106.1
68.0,22.39,1.51,0,0,1,0,243.08
43.0,8.57,3.3,0,0,1,0,156.95
18.0,8.48,0.61,0,1,0,0,61.71
84.0,33.96,4.48,0,0,0,1,299.35
61.0,28.39,6.16,0,0,1,0,222.45
24.0,11.89,1.56,0,0,1,0,82.55
41.0,8.72,0.18,0,0,0,1,144.59
67.0,18.3,4.9,0,0,1,0,234.02
51.0,24.01,4.15,0,0,0,1,183.33
100.0,36.73,7.36,0,0,1,0,354.1
44.0,18.95,2.23,0,0,1,0,160.58
10.0,0.76,0.53,0,0,0,1,35.55
21.0,1.4,1.44,0,0,0,1,77.55
32.0,5.47,0.67,0,0,1,0,110.37
98.0,31.36,5.66,0,0,0,1,351.43
39.0,4.86,0.87,1,0,0,0,131.08
54.07,38.12,6.68,0,0,1,0,328.56
40.0,19.64,0.8,0,0,1,0,146.15
44.0,19.02,6.54,0,1,0,0,153.58
49.0,24.87,5.04,0,0,0,1,174.99
78.0,30.12,3.36,1,0,0,0,278.96
49.0,20.42,4.35,0,1,0,0,178.37
55.0,22.37,5.07,0,1,0,0,197.01
73.0,22.87,0.97,0,0,0,1,261.09
58.0,17.4,4.01,0,0,0,1,204.1
82.0,23.43,5.91,0,0,1,0,288.02
27.0,10.33,1.13,1,0,0,0,97.61
94.0,29.34,3.44,0,1,0,0,336.37
69.0,23.29,5.67,0,1,0,0,245.98
94.0,37.1,7.6,0,0,0,1,334.64
70.0,23.81,3.77,0,0,1,0,246.49
88.0,27.46,1.52,1,0,0,0,312.14
64.0,23.08,3.06,1,0,0,0,219.57
39.0,11.78,2.96,0,0,1,0,138.38
99.0,37.73,7.72,1,0,0,0,349.05
81.0,26.43,3.32,1,0,0,0,288.65
54.07,1.29,0.4,1,0,0,0,56.55
25.0,0.41,3.32,1,0,0,0,92.36
94.0,30.5,8.82,1,0,0,0,331.48
73.0,25.34,3.32,0,1,0,0,258.36
36.0,8.84,0.96,0,0,0,1,125.39
78.0,26.41,2.48,1,0,0,0,271.03
89.0,29.68,3.32,1,0,0,0,320.26
44.0,6.31,1.31,1,0,0,0,152.83
79.0,27.88,7.47,0,0,0,1,282.75
41.0,13.14,3.32,0,0,0,1,142.63
26.0,15.27,2.21,1,0,0,0,88.97
17.0,8.2,2.12,0,1,0,0,63.25
34.0,12.66,3.32,0,1,0,0,117.11
13.0,8.08,0.01,0,0,0,1,48.3
98.0,18.16,6.4,0,0,0,1,345.95
12.0,3.56,0.36,0,0,1,0,37.24
11.0,3.79,1.57,0,0,1,0,45.55
89.0,18.16,4.54,0,0,1,0,316.73
39.0,13.22,3.66,0,0,1,0,135.77
86.0,27.15,4.41,0,0,0,1,308.39
22.0,18.16,4.13,1,0,0,0,78.03
76.0,26.19,4.13,1,0,0,0,269.6
33.0,13.37,0.01,1,0,0,0,116.24
12.0,18.16,1.23,0,0,1,0,50.01
83.0,28.41,4.09,0,0,1,0,292.86
77.0,25.6,5.51,0,0,0,1,192.47
37.0,10.25,0.87,0,0,0,1,135.53
54.07,17.01,5.2,1,0,0,0,208.82
92.0,16.7,1.89,1,0,0,0,325.51
100.0,32.92,9.9,0,0,0,1,357.12
94.0,30.37,5.95,0,1,0,0,334.09
100.0,36.47,5.64,0,1,0,0,192.47
27.0,3.44,0.75,0,1,0,0,97.51
53.0,19.04,2.72,1,0,0,0,191.62
73.0,28.46,5.55,0,1,0,0,256.43
78.0,26.39,3.84,0,1,0,0,279.59
59.0,25.69,6.9,1,0,0,0,209.9
44.0,15.73,5.47,0,1,0,0,159.63
74.0,24.22,0.29,0,0,1,0,192.47
82.0,33.67,8.24,0,0,0,1,290.02
47.0,14.16,4.39,0,0,0,1,170.13
22.0,3.6,4.33,0,0,1,0,78.81
78.0,24.89,3.53,1,0,0,0,277.09
19.0,8.73,0.5,0,1,0,0,192.47
15.0,9.81,2.18,1,0,0,0,51.15
78.0,36.13,6.81,0,0,1,0,275.82
63.0,19.1,4.77,0,0,1,0,225.79
45.0,12.23,1.31,0,0,0,1,162.3
22.0,6.81,0.01,1,0,0,0,192.47
31.0,8.84,0.1,0,0,1,0,111.13
23.0,2.2,0.38,0,0,0,1,80.45
19.0,4.89,0.15,1,0,0,0,69.99
40.0,11.91,1.96,0,0,0,1,138.68
27.0,1.38,2.4,0,0,0,1,192.47
35.0,5.39,0.02,1,0,0,0,118.5
63.0,20.77,6.26,0,0,1,0,229.09
78.0,23.81,1.92,0,0,0,1,276.92
91.0,22.28,3.29,0,1,0,0,322.67
44.0,16.61,5.16,0,1,0,0,157.49
16.0,12.25,1.46,0,1,0,0,56.82
40.0,12.71,5.84,0,0,0,1,139.79
60.0,21.44,3.15,0,0,0,1,212.17
49.0,16.32,0.46,0,0,1,0,177.5
71.0,26.02,3.12,0,1,0,0,253.99
59.0,21.27,3.39,0,0,0,1,215.91
92.0,33.3,1.23,1,0,0,0,327.65
60.0,19.02,5.9,0,1,0,0,214.46
28.0,10.93,1.87,0,0,0,1,97.2
29.0,9.2,3.25,0,0,1,0,99.11
97.0,31.71,4.37,0,0,0,1,347.15
11.0,9.4,3.21,0,1,0,0,41.35
49.0,13.76,2.5,0,0,0,1,173.16
38.0,4.34,0.03,0,1,0,0,139.83
18.0,12.38,1.64,0,0,0,1,65.13
42.0,10.02,0.19,0,0,0,1,152.95
76.0,32.32,6.49,0,1,0,0,270.64
86.0,29.92,6.31,0,1,0,0,303.61
70.0,30.47,5.7,0,0,0,1,248.05
69.0,24.36,5.46,1,0,0,0,239.73
47.0,14.6,0.57,0,0,0,1,162.15
46.0,17.87,3.92,0,0,1,0,167.53
98.0,33.56,5.4,0,0,1,0,343.7
63.0,18.32,5.11,0,1,0,0,222.45
66.0,15.81,0.5,0,1,0,0,229.56
76.0,21.43,3.61,0,0,0,1,269.04
12.0,12.85,2.81,0,0,0,1,42.65
75.0,38.27,8.59,0,0,1,0,263.52
85.0,25.24,5.97,0,0,0,1,296.25
12.0,3.19,0.28,0,0,0,1,46.85
90.0,33.51,4.66,1,0,0,0,322.47
88.0,35.46,4.09,1,0,0,0,312.31
35.0,18.81,3.04,0,1,0,0,123.95
89.0,26.12,4.02,0,0,0,1,320.59
54.0,22.45,3.39,0,0,0,1,188.83
16.0,1.1,1.78,0,1,0,0,55.33
98.0,32.08,4.16,0,1,0,0,342.65
23.0,7.99,0.51,0,1,0,0,84.71
93.0,33.75,2.8,0,1,0,0,333.08
52.0,17.45,3.91,0,0,0,1,188.12
27.0,8.3,0.3,0,1,0,0,98.16
13.0,5.36,3.1,0,0,0,1,47.51
83.0,21.94,4.44,0,0,1,0,294.49
66.0,21.58,8.87,1,0,0,0,231.99
19.0,7.79,4.07,1,0,0,0,62.08
85.0,23.77,4.54,0,1,0,0,304.9
63.0,19.72,5.48,0,0,0,1,220.71
62.0,25.08,5.07,0,0,0,1,225.47
45.0,15.54,0.13,0,1,0,0,157.69
23.0,6.62,0.11,0,1,0,0,79.94
50.0,11.36,2.32,0,1,0,0,185.31
60.0,19.5,4.91,1,0,0,0,216.27
25.0,13.0,5.28,0,0,1,0,91.96
31.0,12.23,0.4,1,0,0,0,111.14
77.0,21.03,1.87,0,0,1,0,275.39
27.0,9.24,2.96,0,0,0,1,93.35
77.0,25.58,3.87,1,0,0,0,276.08
95.0,25.55,1.96,0,0,1,0,333.37
48.0,25.38,4.0,0,0,1,0,172.89
14.0,4.64,0.64,0,0,1,0,53.97
24.0,4.01,1.26,1,0,0,0,91.5
65.0,23.29,7.39,0,1,0,0,229.2
35.0,9.53,0.1,0,0,0,1,125.34
86.0,24.29,8.04,0,0,1,0,306.61
48.0,14.42,3.12,0,0,0,1,170.28
59.0,19.34,1.6,0,0,1,0,210.57
88.0,26.3,4.2,0,0,0,1,314.18
78.0,23.32,3.87,0,1,0,0,280.83
79.0,31.06,3.81,0,0,1,0,286.68
22.0,1.06,1.09,1,0,0,0,73.09
46.0,17.61,3.48,1,0,0,0,160.62
83.0,23.78,2.93,0,0,1,0,295.49
26.0,12.11,4.01,1,0,0,0,94.0
34.0,2.09,0.22,0,0,0,1,123.12
50.0,3.5,3.34,0,0,0,1,174.75
79.0,19.16,0.01,1,0,0,0,281.59
75.0,25.27,7.72,0,0,0,1,267.8
32.0,13.46,0.92,0,1,0,0,116.78
29.0,9.49,0.25,0,0,1,0,105.78
96.0,36.72,3.95,0,0,0,1,343.09
74.0,27.96,2.84,0,0,0,1,258.38
49.0,20.27,3.45,0,0,1,0,171.86
34.0,16.86,3.89,0,1,0,0,118.92
37.0,12.23,1.75,0,1,0,0,129.01
37.0,8.82,3.41,0,1,0,0,132.55
59.0,15.29,3.34,1,0,0,0,208.27
48.0,14.12,3.33,0,1,0,0,175.55
80.0,24.55,4.83,0,0,1,0,285.6
28.0,5.31,2.47,0,0,0,1,91.5
64.0,25.53,3.14,0,0,0,1,226.28
50.0,21.17,4.49,1,0,0,0,180.32
46.0,18.55,2.46,0,0,0,1,164.76
86.0,24.79,6.35,0,1,0,0,309.2
69.0,29.59,8.24,0,0,0,1,246.09
85.0,29.5,2.52,0,1,0,0,300.56
52.0,9.84,2.08,1,0,0,0,183.71
54.0,17.44,5.55,0,0,0,1,191.0
17.0,2.25,0.4,0,0,0,1,61.87
93.0,26.5,3.54,0,1,0,0,331.65
85.0,24.48,5.92,0,0,1,0,297.06
21.0,1.51,2.44,0,1,0,0,73.87
88.0,37.97,4.74,1,0,0,0,314.31
75.0,29.48,7.24,0,0,0,1,268.8
38.0,3.05,1.74,1,0,0,0,132.33
95.0,36.37,1.94,1,0,0,0,339.12
46.0,25.28,2.8,0,1,0,0,163.64
75.0,26.08,5.14,0,1,0,0,269.44
64.0,10.93,3.09,0,1,0,0,225.06
35.0,8.98,0.05,0,0,0,1,125.33
30.0,6.12,2.61,0,1,0,0,104.52
86.0,27.74,5.29,1,0,0,0,307.89
79.0,23.18,0.76,0,0,0,1,282.71
16.0,16.92,6.45,0,0,0,1,54.65
63.0,22.82,4.72,0,0,0,1,228.42
78.0,22.77,2.96,0,0,1,0,277.4
24.0,12.79,3.97,0,0,0,1,86.23
34.0,14.45,1.27,0,0,0,1,124.6
36.0,14.76,0.81,0,0,1,0,125.07
64.0,17.62,5.12,0,0,1,0,228.54
79.0,37.38,4.77,1,0,0,0,281.11
11.0,7.23,5.25,0,0,1,0,46.53
22.0,5.12,2.21,0,0,1,0,74.74
46.0,3.16,4.26,0,0,0,1,161.18
49.0,15.45,0.06,0,1,0,0,174.56
39.0,8.44,2.93,0,1,0,0,141.59
38.0,0.86,0.22,0,0,0,1,137.7
23.0,4.04,2.88,0,0,1,0,78.65
17.0,8.48,0.95,0,0,0,1,58.93
57.0,17.51,3.91,1,0,0,0,204.45
24.0,8.82,0.39,0,1,0,0,86.79
38.0,13.97,2.94,0,0,0,1,133.39
55.0,13.24,0.6,0,1,0,0,199.13
84.0,27.93,3.98,1,0,0,0,300.57
23.0,3.42,1.25,0,0,0,1,82.71
25.0,21.57,0.18,0,0,1,0,89.09
61.0,24.03,4.47,1,0,0,0,214.51
92.0,36.28,7.69,0,1,0,0,334.25
52.0,14.72,5.07,0,0,1,0,184.28
42.0,25.04,7.95,1,0,0,0,151.13
87.0,26.26,4.67,0,1,0,0,314.09
23.0,3.51,1.67,0,0,0,1,82.13
16.0,1.11,0.12,0,0,1,0,55.75
97.0,31.6,6.1,1,0,0,0,345.6
83.0,22.12,4.55,0,1,0,0,301.02
32.0,7.24,4.17,0,0,1,0,114.22
81.0,30.52,4.25,0,1,0,0,286.34
81.0,35.74,8.49,0,1,0,0,290.2
32.0,9.45,0.9,0,0,0,1,115.36
24.0,11.04,0.58,0,0,0,1,82.91
93.0,28.27,2.4,0,1,0,0,328.32
52.0,20.6,5.69,0,1,0,0,183.61
21.0,2.03,0.54,0,0,0,1,70.91
15.0,7.89,4.0,1,0,0,0,53.54
62.0,19.94,1.58,0,1,0,0,222.47
45.0,14.77,4.97,0,1,0,0,159.81
84.0,29.28,4.18,0,0,1,0,300.75
12.0,8.47,4.08,0,1,0,0,41.87
66.0,23.16,2.05,0,1,0,0,238.37
71.0,21.68,4.36,0,1,0,0,253.46
30.0,2.76,1.49,0,0,0,1,108.71
96.0,36.14,8.72,0,0,0,1,340.8
81.0,36.01,9.31,0,0,1,0,291.87
61.0,13.62,1.08,0,1,0,0,218.8
88.0,31.3,6.27,0,0,0,1,312.23
95.0,25.72,3.65,0,0,1,0,338.73
32.0,17.78,6.01,1,0,0,0,108.84
23.0,3.16,1.84,0,1,0,0,84.47
19.0,11.84,1.41,1,0,0,0,63.79
99.0,35.31,8.23,1,0,0,0,347.88
21.0,17.73,1.32,0,0,1,0,72.79
83.0,22.65,1.82,1,0,0,0,294.37
34.0,9.53,0.05,1,0,0,0,122.4
65.0,21.83,3.85,1,0,0,0,226.07
42.0,11.67,3.12,0,0,0,1,147.67
28.0,11.74,1.55,0,0,0,1,108.65
84.0,23.16,6.49,1,0,0,0,301.98
74.0,31.2,5.96,1,0,0,0,262.0
58.0,31.5,5.37,0,0,1,0,203.06
63.0,21.79,0.39,0,0,0,1,223.84
46.0,21.96,0.88,0,0,1,0,164.79
51.0,24.92,4.63,0,1,0,0,180.37
42.0,9.35,0.61,0,1,0,0,146.36
98.0,31.29,4.62,0,0,0,1,343.94
18.0,10.14,3.18,1,0,0,0,66.55
72.0,19.46,1.77,0,0,0,1,258.02
90.0,29.94,8.35,0,1,0,0,320.72
47.0,13.85,3.72,1,0,0,0,167.09
11.0,15.26,1.94,0,0,1,0,42.72
59.0,13.02,3.26,0,0,1,0,211.08
49.0,15.76,1.62,1,0,0,0,173.1
51.0,23.29,6.65,0,1,0,0,178.3
49.0,23.08,5.75,1,0,0,0,173.73
88.0,25.78,5.72,1,0,0,0,313.66
49.0,15.44,0.06,0,1,0,0,175.73
21.0,5.09,1.4,0,1,0,0,81.0
84.0,33.49,9.64,0,0,0,1,297.49
13.0,4.03,0.22,0,0,1,0,44.07
55.0,11.31,1.46,0,0,0,1,192.8
73.0,18.97,4.06,0,1,0,0,260.89
47.0,19.83,2.83,0,0,1,0,170.98
34.0,16.28,5.19,1,0,0,0,119.47
98.0,26.23,4.31,0,1,0,0,347.57
72.0,29.4,0.88,0,0,1,0,255.28
59.0,28.35,6.54,1,0,0,0,210.4
88.0,33.99,5.78,0,1,0,0,311.61
94.0,31.21,6.89,0,0,0,1,334.32
55.0,13.73,3.33,0,0,0,1,201.16
23.0,10.73,0.56,0,0,0,1,80.79
63.0,16.1,3.06,0,0,1,0,224.2
31.0,7.05,4.18,0,0,0,1,107.97
29.0,11.54,3.92,0,0,1,0,103.88
100.0,38.47,5.79,1,0,0,0,358.35
21.0,6.29,0.13,1,0,0,0,71.4
15.0,0.39,1.1,1,0,0,0,52.04
63.0,13.48,3.36,1,0,0,0,226.14
43.0,27.2,8.7,0,1,0,0,153.66
97.0,42.33,8.49,0,1,0,0,348.39
19.0,9.06,1.48,1,0,0,0,69.36
100.0,32.4,3.78,0,0,0,1,355.05
62.0,11.56,1.93,0,1,0,0,220.61
37.0,7.26,4.58,0,0,0,1,131.73
88.0,25.03,4.13,0,0,0,1,314.95
33.0,8.18,3.45,0,0,0,1,119.4
37.0,5.26,2.53,0,0,0,1,130.96
66.0,23.92,3.96,0,1,0,0,240.69
79.0,20.56,2.58,1,0,0,0,281.3
67.0,27.53,10.45,1,0,0,0,242.59
43.0,14.11,0.75,1,0,0,0,146.53
61.0,27.24,4.25,0,0,0,1,214.44
81.0,30.66,7.21,0,0,1,0,291.14
17.0,8.8,2.41,1,0,0,0,61.22
90.0,25.23,3.06,0,0,1,0,321.07
16.0,5.74,2.35,1,0,0,0,58.21
68.0,19.78,3.22,0,0,1,0,240.8
90.0,32.73,8.83,0,1,0,0,319.44
61.0,22.24,8.19,1,0,0,0,214.4
32.0,10.58,0.06,0,1,0,0,117.02
29.0,13.0,0.27,0,0,0,1,107.45
92.0,31.46,1.74,0,0,1,0,330.01
82.0,29.6,6.48,1,0,0,0,292.21
24.0,7.47,0.44,0,1,0,0,84.23
45.0,18.1,0.1,0,0,1,0,160.44
81.0,24.06,1.54,0,0,0,1,292.55
90.0,28.17,6.92,0,1,0,0,322.23
62.0,27.6,3.61,0,0,0,1,218.2
43.0,17.66,2.4,0,0,1,0,154.23
68.0,19.13,6.83,0,0,1,0,240.23
20.0,6.42,2.26,0,0,0,1,66.77
45.0,6.36,0.7,0,1,0,0,159.71
60.0,15.53,2.06,1,0,0,0,210.91
17.0,9.15,4.64,1,0,0,0,56.48
22.0,20.35,5.49,0,1,0,0,76.96
24.0,4.8,0.57,1,0,0,0,90.33
56.0,17.74,2.09,0,0,1,0,201.02
36.0,6.1,3.26,0,0,1,0,136.94
15.0,3.52,2.29,0,0,1,0,55.26
44.0,15.67,1.09,0,0,0,1,153.12
26.0,17.84,5.11,0,0,1,0,91.75
100.0,37.4,6.44,0,0,0,1,354.57
21.0,5.42,4.63,0,1,0,0,72.74
62.0,26.59,4.52,0,0,1,0,222.12
41.0,12.5,1.25,1,0,0,0,148.49
85.0,36.08,11.4,1,0,0,0,304.97
88.0,31.02,7.35,1,0,0,0,318.15
25.0,5.38,0.63,0,1,0,0,83.57
14.0,7.39,0.12,0,1,0,0,49.98
100.0,31.36,6.51,1,0,0,0,355.52
42.0,7.28,0.28,1,0,0,0,146.94
54.0,21.47,1.19,1,0,0,0,197.67
23.0,10.05,0.16,0,0,1,0,82.32
44.0,12.02,4.63,0,0,0,1,160.05
46.0,17.78,3.77,1,0,0,0,170.78
69.0,28.0,7.37,0,0,1,0,243.09
55.0,19.96,5.25,0,0,1,0,197.74
40.0,9.1,2.71,1,0,0,0,147.59
40.0,13.93,3.94,0,0,0,1,143.17
48.0,16.36,3.91,1,0,0,0,166.62
70.0,17.07,3.3,1,0,0,0,248.67
99.0,24.98,2.64,1,0,0,0,355.53
72.0,24.18,4.74,0,1,0,0,249.43
49.0,12.07,4.38,1,0,0,0,176.84
74.0,26.31,5.59,1,0,0,0,264.54
17.0,6.84,2.31,1,0,0,0,61.65
88.0,30.25,6.38,1,0,0,0,313.26
61.0,26.67,3.7,0,0,1,0,215.8
13.0,7.43,1.29,0,0,1,0,44.85
45.0,18.81,1.05,0,0,0,1,156.57
50.0,9.96,0.9,0,0,1,0,179.73
33.0,23.18,4.49,1,0,0,0,120.66
12.0,1.23,1.52,1,0,0,0,33.51
35.0,13.94,1.39,0,1,0,0,123.55
60.0,29.73,2.01,0,1,0,0,212.6
29.0,10.38,0.06,0,1,0,0,102.77
93.0,37.35,8.28,0,0,0,1,333.87
58.0,14.76,1.89,0,1,0,0,208.9
52.0,25.3,2.37,0,1,0,0,186.34
26.0,1.22,1.27,0,0,1,0,90.05
68.0,21.08,1.24,1,0,0,0,247.32
70.0,22.95,5.69,0,1,0,0,251.13
74.0,29.2,5.34,0,1,0,0,265.69
28.0,15.73,7.95,0,1,0,0,101.24
97.0,34.86,8.13,1,0,0,0,349.28
61.0,18.0,0.69,0,0,0,1,210.81
25.0,8.47,0.65,0,1,0,0,89.25
73.0,15.85,3.06,0,1,0,0,262.64
29.0,18.18,1.57,1,0,0,0,102.53
67.0,12.85,3.41,0,1,0,0,237.56
89.0,33.39,6.3,0,1,0,0,319.45
31.0,14.3,2.95,0,0,0,1,109.77
55.0,10.57,2.99,0,1,0,0,195.0
97.0,34.03,4.11,0,1,0,0,349.63
96.0,38.35,5.63,0,0,0,1,343.72
21.0,6.7,0.89,1,0,0,0,73.72
75.0,27.69,6.33,0,1,0,0,264.95
28.0,7.46,2.49,0,0,1,0,100.23
47.0,15.89,2.0,0,1,0,0,167.72
95.0,43.13,10.17,0,0,1,0,339.87
13.0,1.31,0.92,0,0,1,0,48.23
28.0,12.99,3.38,0,0,1,0,98.9
99.0,36.88,7.62,0,1,0,0,351.81
64.0,18.67,3.05,0,1,0,0,227.32
70.0,24.7,5.05,0,1,0,0,253.94
31.0,9.85,0.55,0,0,1,0,109.55
70.0,24.12,1.08,0,0,0,1,252.09
96.0,33.74,8.7,0,0,1,0,343.05
100.0,32.39,6.9,0,1,0,0,350.84
75.0,20.77,1.93,0,0,0,1,268.86
98.0,27.67,1.61,0,0,0,1,345.56
71.0,30.93,4.07,1,0,0,0,251.14
25.0,10.7,1.36,0,1,0,0,87.96
30.0,7.38,4.99,1,0,0,0,106.48
17.0,7.76,1.96,0,0,0,1,61.87
83.0,37.72,4.01,1,0,0,0,293.84
20.0,11.48,0.7,0,0,0,1,74.53
89.0,36.06,2.33,0,0,0,1,316.58
16.0,13.83,0.89,0,1,0,0,54.74
20.0,14.69,2.33,0,1,0,0,68.64
